Timeline,Name,Status,Country,2016 Census of Population,Lat&Long,Province,Tavg,Tmin,Tmax
2021-02-07,Acme,Village,Canada,653,"(51.49533, -113.50819)",Alberta,-35.8,-41.0,-29.0
2021-02-08,Acme,Village,Canada,653,"(51.49533, -113.50819)",Alberta,-32.9,-40.0,-26.0
2021-02-09,Acme,Village,Canada,653,"(51.49533, -113.50819)",Alberta,-30.9,-35.0,-26.0
2021-02-10,Acme,Village,Canada,653,"(51.49533, -113.50819)",Alberta,-30.7,-35.0,-27.0
2021-02-11,Acme,Village,Canada,653,"(51.49533, -113.50819)",Alberta,-30.0,-35.0,-24.0
2021-02-12,Acme,Village,Canada,653,"(51.49533, -113.50819)",Alberta,-21.2,-23.0,-19.0
2021-02-07,Alix,Village,Canada,734,"(52.4004, -113.18862)",Alberta,-28.9,-35.0,-24.0
2021-02-08,Alix,Village,Canada,734,"(52.4004, -113.18862)",Alberta,-30.0,-33.0,-27.0
2021-02-09,Alix,Village,Canada,734,"(52.4004, -113.18862)",Alberta,-30.3,-34.0,-26.0
2021-02-10,Alix,Village,Canada,734,"(52.4004, -113.18862)",Alberta,-30.5,-32.0,-28.0
2021-02-11,Alix,Village,Canada,734,"(52.4004, -113.18862)",Alberta,-29.3,-33.0,-25.0
2021-02-12,Alix,Village,Canada,734,"(52.4004, -113.18862)",Alberta,-22.5,-25.0,-20.0
2021-02-07,Andrew,Village,Canada,425,"(53.87915, -112.33186)",Alberta,-34.4,-40.4,-26.0
2021-02-08,Andrew,Village,Canada,425,"(53.87915, -112.33186)",Alberta,-31.2,-36.9,-26.5
2021-02-09,Andrew,Village,Canada,425,"(53.87915, -112.33186)",Alberta,-28.6,-31.0,-27.0
2021-02-10,Andrew,Village,Canada,425,"(53.87915, -112.33186)",Alberta,-28.3,-30.0,-26.5
2021-02-11,Andrew,Village,Canada,425,"(53.87915, -112.33186)",Alberta,-27.6,-33.0,-23.0
2021-02-12,Andrew,Village,Canada,425,"(53.87915, -112.33186)",Alberta,-21.9,-24.0,-20.5
2021-02-07,Arrowwood,Village,Canada,207,"(50.73719, -113.15045)",Alberta,-28.9,-31.0,-26.0
2021-02-08,Arrowwood,Village,Canada,207,"(50.73719, -113.15045)",Alberta,-29.6,-32.0,-25.0
2021-02-09,Arrowwood,Village,Canada,207,"(50.73719, -113.15045)",Alberta,-29.5,-33.0,-26.0
2021-02-10,Arrowwood,Village,Canada,207,"(50.73719, -113.15045)",Alberta,-29.6,-33.0,-28.0
2021-02-11,Arrowwood,Village,Canada,207,"(50.73719, -113.15045)",Alberta,-30.0,-33.0,-27.0
2021-02-12,Arrowwood,Village,Canada,207,"(50.73719, -113.15045)",Alberta,-21.9,-26.0,-19.0
2021-02-07,Barnwell,Village,Canada,947,"(49.76051, -112.26247)",Alberta,-25.9,-29.4,-23.0
2021-02-08,Barnwell,Village,Canada,947,"(49.76051, -112.26247)",Alberta,-28.0,-36.0,-23.0
2021-02-09,Barnwell,Village,Canada,947,"(49.76051, -112.26247)",Alberta,-30.1,-35.6,-24.7
2021-02-10,Barnwell,Village,Canada,947,"(49.76051, -112.26247)",Alberta,-29.5,-35.3,-25.4
2021-02-11,Barnwell,Village,Canada,947,"(49.76051, -112.26247)",Alberta,-30.8,-35.0,-26.0
2021-02-12,Barnwell,Village,Canada,947,"(49.76051, -112.26247)",Alberta,-24.2,-33.1,-19.4
2021-02-07,Barons,Village,Canada,341,"(50.00002, -113.08764)",Alberta,-25.7,-29.0,-23.0
2021-02-08,Barons,Village,Canada,341,"(50.00002, -113.08764)",Alberta,-26.3,-31.0,-22.0
2021-02-09,Barons,Village,Canada,341,"(50.00002, -113.08764)",Alberta,-27.7,-31.0,-24.0
2021-02-10,Barons,Village,Canada,341,"(50.00002, -113.08764)",Alberta,-27.7,-33.0,-25.0
2021-02-11,Barons,Village,Canada,341,"(50.00002, -113.08764)",Alberta,-29.4,-33.0,-26.0
2021-02-12,Barons,Village,Canada,341,"(50.00002, -113.08764)",Alberta,-22.9,-31.0,-19.0
2021-02-07,Bassano,Town,Canada,1206,"(50.78587, -112.46641)",Alberta,-31.4,-38.0,-25.0
2021-02-08,Bassano,Town,Canada,1206,"(50.78587, -112.46641)",Alberta,-32.0,-37.0,-26.0
2021-02-09,Bassano,Town,Canada,1206,"(50.78587, -112.46641)",Alberta,-30.3,-34.0,-25.0
2021-02-10,Bassano,Town,Canada,1206,"(50.78587, -112.46641)",Alberta,-30.3,-36.0,-26.0
2021-02-11,Bassano,Town,Canada,1206,"(50.78587, -112.46641)",Alberta,-31.7,-37.0,-26.0
2021-02-12,Bassano,Town,Canada,1206,"(50.78587, -112.46641)",Alberta,-21.9,-29.0,-20.0
2021-02-07,Beaverlodge,Town,Canada,2465,"(55.20867, -119.42911)",Alberta,-38.7,-44.0,-32.0
2021-02-08,Beaverlodge,Town,Canada,2465,"(55.20867, -119.42911)",Alberta,-32.8,-38.0,-29.0
2021-02-09,Beaverlodge,Town,Canada,2465,"(55.20867, -119.42911)",Alberta,-34.1,-38.0,-30.0
2021-02-10,Beaverlodge,Town,Canada,2465,"(55.20867, -119.42911)",Alberta,-30.2,-36.0,-26.0
2021-02-11,Beaverlodge,Town,Canada,2465,"(55.20867, -119.42911)",Alberta,-30.0,-37.0,-23.0
2021-02-12,Beaverlodge,Town,Canada,2465,"(55.20867, -119.42911)",Alberta,-21.5,-29.0,-17.0
2021-02-07,Berwyn,Village,Canada,538,"(56.14825, -117.72162)",Alberta,-35.7,-43.0,-29.0
2021-02-08,Berwyn,Village,Canada,538,"(56.14825, -117.72162)",Alberta,-32.0,-37.0,-28.0
2021-02-09,Berwyn,Village,Canada,538,"(56.14825, -117.72162)",Alberta,-31.5,-37.0,-27.0
2021-02-10,Berwyn,Village,Canada,538,"(56.14825, -117.72162)",Alberta,-29.0,-34.0,-26.0
2021-02-11,Berwyn,Village,Canada,538,"(56.14825, -117.72162)",Alberta,-27.8,-34.0,-22.0
2021-02-12,Berwyn,Village,Canada,538,"(56.14825, -117.72162)",Alberta,-23.7,-31.0,-19.0
2021-02-07,Bonnyville,Town,Canada,5975,"(54.26795, -110.75332)",Alberta,-34.5,-42.0,-27.0
2021-02-08,Bonnyville,Town,Canada,5975,"(54.26795, -110.75332)",Alberta,-30.2,-36.0,-25.0
2021-02-09,Bonnyville,Town,Canada,5975,"(54.26795, -110.75332)",Alberta,-26.7,-28.0,-25.0
2021-02-10,Bonnyville,Town,Canada,5975,"(54.26795, -110.75332)",Alberta,-28.5,-32.0,-27.0
2021-02-11,Bonnyville,Town,Canada,5975,"(54.26795, -110.75332)",Alberta,-29.3,-36.0,-23.0
2021-02-12,Bonnyville,Town,Canada,5975,"(54.26795, -110.75332)",Alberta,-21.3,-22.0,-20.0
2021-02-07,Bow Island,Town,Canada,1983,"(49.8709, -111.35965)",Alberta,-25.6,-29.7,-21.0
2021-02-08,Bow Island,Town,Canada,1983,"(49.8709, -111.35965)",Alberta,-27.5,-31.0,-23.7
2021-02-09,Bow Island,Town,Canada,1983,"(49.8709, -111.35965)",Alberta,-28.7,-32.7,-24.0
2021-02-10,Bow Island,Town,Canada,1983,"(49.8709, -111.35965)",Alberta,-28.6,-32.7,-25.0
2021-02-11,Bow Island,Town,Canada,1983,"(49.8709, -111.35965)",Alberta,-29.7,-32.7,-25.7
2021-02-12,Bow Island,Town,Canada,1983,"(49.8709, -111.35965)",Alberta,-23.0,-30.5,-20.0
2021-02-07,Brooks,City,Canada,14451,"(50.56592, -111.89882)",Alberta,-29.5,-35.4,-23.5
2021-02-08,Brooks,City,Canada,14451,"(50.56592, -111.89882)",Alberta,-30.7,-35.0,-25.0
2021-02-09,Brooks,City,Canada,14451,"(50.56592, -111.89882)",Alberta,-29.3,-33.0,-24.5
2021-02-10,Brooks,City,Canada,14451,"(50.56592, -111.89882)",Alberta,-29.4,-34.0,-26.0
2021-02-11,Brooks,City,Canada,14451,"(50.56592, -111.89882)",Alberta,-30.5,-34.4,-26.0
2021-02-12,Brooks,City,Canada,14451,"(50.56592, -111.89882)",Alberta,-21.8,-29.0,-20.0
2021-02-07,Bruderheim,Town,Canada,1308,"(53.80345, -112.92709)",Alberta,-35.2,-43.0,-24.0
2021-02-08,Bruderheim,Town,Canada,1308,"(53.80345, -112.92709)",Alberta,-31.9,-40.0,-26.0
2021-02-09,Bruderheim,Town,Canada,1308,"(53.80345, -112.92709)",Alberta,-28.7,-31.0,-26.0
2021-02-10,Bruderheim,Town,Canada,1308,"(53.80345, -112.92709)",Alberta,-28.4,-32.0,-26.0
2021-02-11,Bruderheim,Town,Canada,1308,"(53.80345, -112.92709)",Alberta,-26.8,-30.0,-24.0
2021-02-12,Bruderheim,Town,Canada,1308,"(53.80345, -112.92709)",Alberta,-21.4,-24.0,-20.0
2021-02-07,Burnstick Lake,Summer village,Canada,15,"(51.99122, -114.88706)",Alberta,-30.8,-40.0,-22.0
2021-02-08,Burnstick Lake,Summer village,Canada,15,"(51.99122, -114.88706)",Alberta,-28.4,-34.0,-23.0
2021-02-09,Burnstick Lake,Summer village,Canada,15,"(51.99122, -114.88706)",Alberta,-31.6,-37.0,-24.0
2021-02-10,Burnstick Lake,Summer village,Canada,15,"(51.99122, -114.88706)",Alberta,-32.1,-37.0,-26.0
2021-02-11,Burnstick Lake,Summer village,Canada,15,"(51.99122, -114.88706)",Alberta,-30.5,-41.0,-23.0
2021-02-12,Burnstick Lake,Summer village,Canada,15,"(51.99122, -114.88706)",Alberta,-20.3,-23.0,-17.0
2021-02-07,Carbon,Village,Canada,454,"(51.48524, -113.14204)",Alberta,-33.7,-39.7,-26.0
2021-02-08,Carbon,Village,Canada,454,"(51.48524, -113.14204)",Alberta,-32.5,-39.1,-25.1
2021-02-09,Carbon,Village,Canada,454,"(51.48524, -113.14204)",Alberta,-30.9,-35.9,-25.1
2021-02-10,Carbon,Village,Canada,454,"(51.48524, -113.14204)",Alberta,-31.0,-35.9,-26.1
2021-02-11,Carbon,Village,Canada,454,"(51.48524, -113.14204)",Alberta,-30.5,-36.7,-24.4
2021-02-12,Carbon,Village,Canada,454,"(51.48524, -113.14204)",Alberta,-21.0,-25.1,-18.6
2021-02-07,Cardston,Town,Canada,3585,"(49.19848, -113.30177)",Alberta,-22.8,-26.0,-19.0
2021-02-08,Cardston,Town,Canada,3585,"(49.19848, -113.30177)",Alberta,-25.5,-27.0,-24.0
2021-02-09,Cardston,Town,Canada,3585,"(49.19848, -113.30177)",Alberta,-29.3,-36.0,-23.0
2021-02-10,Cardston,Town,Canada,3585,"(49.19848, -113.30177)",Alberta,-29.3,-36.0,-24.0
2021-02-11,Cardston,Town,Canada,3585,"(49.19848, -113.30177)",Alberta,-29.7,-35.0,-25.0
2021-02-12,Cardston,Town,Canada,3585,"(49.19848, -113.30177)",Alberta,-26.0,-35.0,-18.0
2021-02-07,Carmangay,Village,Canada,242,"(50.12684, -113.11335)",Alberta,-25.2,-30.0,-22.0
2021-02-08,Carmangay,Village,Canada,242,"(50.12684, -113.11335)",Alberta,-27.1,-35.0,-23.0
2021-02-09,Carmangay,Village,Canada,242,"(50.12684, -113.11335)",Alberta,-28.9,-34.0,-23.0
2021-02-10,Carmangay,Village,Canada,242,"(50.12684, -113.11335)",Alberta,-28.7,-33.0,-26.0
2021-02-11,Carmangay,Village,Canada,242,"(50.12684, -113.11335)",Alberta,-31.2,-36.0,-25.0
2021-02-12,Carmangay,Village,Canada,242,"(50.12684, -113.11335)",Alberta,-22.7,-33.0,-18.0
2021-02-07,Carstairs,Town,Canada,4077,"(51.56288, -114.09538)",Alberta,-30.8,-33.0,-28.0
2021-02-08,Carstairs,Town,Canada,4077,"(51.56288, -114.09538)",Alberta,-29.8,-35.0,-26.0
2021-02-09,Carstairs,Town,Canada,4077,"(51.56288, -114.09538)",Alberta,-29.6,-34.0,-26.0
2021-02-10,Carstairs,Town,Canada,4077,"(51.56288, -114.09538)",Alberta,-29.8,-33.0,-28.0
2021-02-11,Carstairs,Town,Canada,4077,"(51.56288, -114.09538)",Alberta,-28.8,-34.0,-24.0
2021-02-12,Carstairs,Town,Canada,4077,"(51.56288, -114.09538)",Alberta,-21.3,-24.0,-19.0
2021-02-07,Cereal,Village,Canada,111,"(51.42011, -110.80189)",Alberta,-32.2,-35.0,-28.0
2021-02-08,Cereal,Village,Canada,111,"(51.42011, -110.80189)",Alberta,-31.6,-36.0,-28.0
2021-02-09,Cereal,Village,Canada,111,"(51.42011, -110.80189)",Alberta,-29.9,-33.0,-27.0
2021-02-10,Cereal,Village,Canada,111,"(51.42011, -110.80189)",Alberta,-31.0,-34.0,-28.0
2021-02-11,Cereal,Village,Canada,111,"(51.42011, -110.80189)",Alberta,-32.1,-36.0,-28.0
2021-02-12,Cereal,Village,Canada,111,"(51.42011, -110.80189)",Alberta,-24.7,-30.0,-22.0
2021-02-07,Champion,Village,Canada,317,"(50.23877, -113.14784)",Alberta,-25.2,-30.0,-22.0
2021-02-08,Champion,Village,Canada,317,"(50.23877, -113.14784)",Alberta,-27.1,-35.0,-23.0
2021-02-09,Champion,Village,Canada,317,"(50.23877, -113.14784)",Alberta,-28.9,-34.0,-23.0
2021-02-10,Champion,Village,Canada,317,"(50.23877, -113.14784)",Alberta,-28.7,-33.0,-26.0
2021-02-11,Champion,Village,Canada,317,"(50.23877, -113.14784)",Alberta,-31.2,-36.0,-25.0
2021-02-12,Champion,Village,Canada,317,"(50.23877, -113.14784)",Alberta,-22.7,-33.0,-18.0
2021-02-07,Chestermere,City,Canada,19887,"(51.05228, -113.81588)",Alberta,-25.8,-29.0,-23.0
2021-02-08,Chestermere,City,Canada,19887,"(51.05228, -113.81588)",Alberta,-25.7,-29.0,-24.0
2021-02-09,Chestermere,City,Canada,19887,"(51.05228, -113.81588)",Alberta,-26.8,-29.0,-25.0
2021-02-10,Chestermere,City,Canada,19887,"(51.05228, -113.81588)",Alberta,-27.4,-29.0,-26.0
2021-02-11,Chestermere,City,Canada,19887,"(51.05228, -113.81588)",Alberta,-27.6,-30.0,-25.0
2021-02-12,Chestermere,City,Canada,19887,"(51.05228, -113.81588)",Alberta,-20.2,-25.0,-18.0
2021-02-07,Chipman,Village,Canada,274,"(53.69901, -112.63488)",Alberta,-34.4,-40.4,-26.0
2021-02-08,Chipman,Village,Canada,274,"(53.69901, -112.63488)",Alberta,-31.2,-36.9,-26.5
2021-02-09,Chipman,Village,Canada,274,"(53.69901, -112.63488)",Alberta,-28.6,-31.0,-27.0
2021-02-10,Chipman,Village,Canada,274,"(53.69901, -112.63488)",Alberta,-28.3,-30.0,-26.5
2021-02-11,Chipman,Village,Canada,274,"(53.69901, -112.63488)",Alberta,-27.6,-33.0,-23.0
2021-02-12,Chipman,Village,Canada,274,"(53.69901, -112.63488)",Alberta,-21.9,-24.0,-20.5
2021-02-07,Claresholm,Town,Canada,3780,"(50.02608, -113.58214)",Alberta,-24.5,-29.0,-21.0
2021-02-08,Claresholm,Town,Canada,3780,"(50.02608, -113.58214)",Alberta,-26.4,-35.5,-22.5
2021-02-09,Claresholm,Town,Canada,3780,"(50.02608, -113.58214)",Alberta,-28.4,-34.5,-22.5
2021-02-10,Claresholm,Town,Canada,3780,"(50.02608, -113.58214)",Alberta,-28.2,-33.0,-24.0
2021-02-11,Claresholm,Town,Canada,3780,"(50.02608, -113.58214)",Alberta,-30.2,-35.5,-24.0
2021-02-12,Claresholm,Town,Canada,3780,"(50.02608, -113.58214)",Alberta,-22.9,-33.5,-17.0
2021-02-07,Clive,Village,Canada,715,"(52.47773, -113.4487)",Alberta,-28.9,-35.0,-24.0
2021-02-08,Clive,Village,Canada,715,"(52.47773, -113.4487)",Alberta,-30.0,-33.0,-27.0
2021-02-09,Clive,Village,Canada,715,"(52.47773, -113.4487)",Alberta,-30.3,-34.0,-26.0
2021-02-10,Clive,Village,Canada,715,"(52.47773, -113.4487)",Alberta,-30.5,-32.0,-28.0
2021-02-11,Clive,Village,Canada,715,"(52.47773, -113.4487)",Alberta,-29.3,-33.0,-25.0
2021-02-12,Clive,Village,Canada,715,"(52.47773, -113.4487)",Alberta,-22.5,-25.0,-20.0
2021-02-07,Clyde,Village,Canada,430,"(54.14699, -113.63652)",Alberta,-38.5,-45.0,-28.0
2021-02-08,Clyde,Village,Canada,430,"(54.14699, -113.63652)",Alberta,-34.8,-43.0,-25.0
2021-02-09,Clyde,Village,Canada,430,"(54.14699, -113.63652)",Alberta,-28.5,-33.0,-24.0
2021-02-10,Clyde,Village,Canada,430,"(54.14699, -113.63652)",Alberta,-27.6,-31.0,-25.0
2021-02-11,Clyde,Village,Canada,430,"(54.14699, -113.63652)",Alberta,-26.6,-31.0,-23.0
2021-02-12,Clyde,Village,Canada,430,"(54.14699, -113.63652)",Alberta,-21.1,-24.0,-19.0
2021-02-07,Cold Lake,City,Canada,14961,"(54.46505, -110.1738)",Alberta,-34.5,-42.0,-27.0
2021-02-08,Cold Lake,City,Canada,14961,"(54.46505, -110.1738)",Alberta,-30.2,-36.0,-25.0
2021-02-09,Cold Lake,City,Canada,14961,"(54.46505, -110.1738)",Alberta,-26.7,-28.0,-25.0
2021-02-10,Cold Lake,City,Canada,14961,"(54.46505, -110.1738)",Alberta,-28.5,-32.0,-27.0
2021-02-11,Cold Lake,City,Canada,14961,"(54.46505, -110.1738)",Alberta,-29.3,-36.0,-23.0
2021-02-12,Cold Lake,City,Canada,14961,"(54.46505, -110.1738)",Alberta,-21.3,-22.0,-20.0
2021-02-07,Consort,Village,Canada,729,"(52.0081, -110.76608)",Alberta,-32.1,-37.0,-28.0
2021-02-08,Consort,Village,Canada,729,"(52.0081, -110.76608)",Alberta,-30.6,-34.0,-28.0
2021-02-09,Consort,Village,Canada,729,"(52.0081, -110.76608)",Alberta,-28.8,-31.0,-26.0
2021-02-10,Consort,Village,Canada,729,"(52.0081, -110.76608)",Alberta,-30.0,-33.0,-28.0
2021-02-11,Consort,Village,Canada,729,"(52.0081, -110.76608)",Alberta,-30.9,-35.0,-26.0
2021-02-12,Consort,Village,Canada,729,"(52.0081, -110.76608)",Alberta,-23.3,-25.0,-22.0
2021-02-07,Coutts,Village,Canada,245,"(49.00525, -111.96233)",Alberta,-24.3,-26.0,-22.0
2021-02-08,Coutts,Village,Canada,245,"(49.00525, -111.96233)",Alberta,-26.0,-31.0,-23.0
2021-02-09,Coutts,Village,Canada,245,"(49.00525, -111.96233)",Alberta,-30.7,-36.0,-24.0
2021-02-10,Coutts,Village,Canada,245,"(49.00525, -111.96233)",Alberta,-30.3,-35.0,-25.0
2021-02-11,Coutts,Village,Canada,245,"(49.00525, -111.96233)",Alberta,-30.7,-36.0,-26.0
2021-02-12,Coutts,Village,Canada,245,"(49.00525, -111.96233)",Alberta,-27.3,-36.0,-20.0
2021-02-07,Cowley,Village,Canada,209,"(49.56871, -114.07478)",Alberta,-21.9,-24.0,-16.0
2021-02-08,Cowley,Village,Canada,209,"(49.56871, -114.07478)",Alberta,-24.8,-33.0,-22.0
2021-02-09,Cowley,Village,Canada,209,"(49.56871, -114.07478)",Alberta,-27.3,-34.0,-21.0
2021-02-10,Cowley,Village,Canada,209,"(49.56871, -114.07478)",Alberta,-27.1,-32.0,-23.0
2021-02-11,Cowley,Village,Canada,209,"(49.56871, -114.07478)",Alberta,-30.0,-37.0,-23.0
2021-02-12,Cowley,Village,Canada,209,"(49.56871, -114.07478)",Alberta,-27.6,-38.0,-15.0
2021-02-07,Cremona,Village,Canada,444,"(51.54537, -114.49449)",Alberta,-30.8,-40.0,-22.0
2021-02-08,Cremona,Village,Canada,444,"(51.54537, -114.49449)",Alberta,-28.4,-34.0,-23.0
2021-02-09,Cremona,Village,Canada,444,"(51.54537, -114.49449)",Alberta,-31.6,-37.0,-24.0
2021-02-10,Cremona,Village,Canada,444,"(51.54537, -114.49449)",Alberta,-32.1,-37.0,-26.0
2021-02-11,Cremona,Village,Canada,444,"(51.54537, -114.49449)",Alberta,-30.5,-41.0,-23.0
2021-02-12,Cremona,Village,Canada,444,"(51.54537, -114.49449)",Alberta,-20.3,-23.0,-17.0
2021-02-07,Crossfield,Town,Canada,2983,"(51.42954, -114.02705)",Alberta,-25.8,-29.0,-23.0
2021-02-08,Crossfield,Town,Canada,2983,"(51.42954, -114.02705)",Alberta,-25.7,-29.0,-24.0
2021-02-09,Crossfield,Town,Canada,2983,"(51.42954, -114.02705)",Alberta,-26.8,-29.0,-25.0
2021-02-10,Crossfield,Town,Canada,2983,"(51.42954, -114.02705)",Alberta,-27.4,-29.0,-26.0
2021-02-11,Crossfield,Town,Canada,2983,"(51.42954, -114.02705)",Alberta,-27.6,-30.0,-25.0
2021-02-12,Crossfield,Town,Canada,2983,"(51.42954, -114.02705)",Alberta,-20.2,-25.0,-18.0
2021-02-07,Daysland,Town,Canada,824,"(52.86356, -112.2614)",Alberta,-34.8,-41.0,-28.0
2021-02-08,Daysland,Town,Canada,824,"(52.86356, -112.2614)",Alberta,-32.3,-38.0,-27.0
2021-02-09,Daysland,Town,Canada,824,"(52.86356, -112.2614)",Alberta,-29.0,-32.0,-26.0
2021-02-10,Daysland,Town,Canada,824,"(52.86356, -112.2614)",Alberta,-29.5,-33.0,-27.0
2021-02-11,Daysland,Town,Canada,824,"(52.86356, -112.2614)",Alberta,-28.5,-33.0,-23.0
2021-02-12,Daysland,Town,Canada,824,"(52.86356, -112.2614)",Alberta,-21.8,-23.0,-20.0
2021-02-07,Delia[f],Village,Canada,216,"(51.6338, -112.37472)",Alberta,-30.8,-38.0,-22.0
2021-02-08,Delia[f],Village,Canada,216,"(51.6338, -112.37472)",Alberta,-32.0,-38.0,-24.0
2021-02-09,Delia[f],Village,Canada,216,"(51.6338, -112.37472)",Alberta,-30.8,-37.0,-24.0
2021-02-10,Delia[f],Village,Canada,216,"(51.6338, -112.37472)",Alberta,-31.5,-37.0,-25.0
2021-02-11,Delia[f],Village,Canada,216,"(51.6338, -112.37472)",Alberta,-31.2,-39.0,-25.0
2021-02-12,Delia[f],Village,Canada,216,"(51.6338, -112.37472)",Alberta,-20.8,-28.0,-18.0
2021-02-07,Didsbury,Town,Canada,5268,"(51.66627, -114.13789)",Alberta,-30.8,-33.0,-28.0
2021-02-08,Didsbury,Town,Canada,5268,"(51.66627, -114.13789)",Alberta,-29.8,-35.0,-26.0
2021-02-09,Didsbury,Town,Canada,5268,"(51.66627, -114.13789)",Alberta,-29.6,-34.0,-26.0
2021-02-10,Didsbury,Town,Canada,5268,"(51.66627, -114.13789)",Alberta,-29.8,-33.0,-28.0
2021-02-11,Didsbury,Town,Canada,5268,"(51.66627, -114.13789)",Alberta,-28.8,-34.0,-24.0
2021-02-12,Didsbury,Town,Canada,5268,"(51.66627, -114.13789)",Alberta,-21.3,-24.0,-19.0
2021-02-07,Donalda,Village,Canada,219,"(52.58342, -112.57523)",Alberta,-31.4,-35.0,-25.0
2021-02-08,Donalda,Village,Canada,219,"(52.58342, -112.57523)",Alberta,-32.0,-37.0,-27.0
2021-02-09,Donalda,Village,Canada,219,"(52.58342, -112.57523)",Alberta,-30.1,-34.0,-26.0
2021-02-10,Donalda,Village,Canada,219,"(52.58342, -112.57523)",Alberta,-30.3,-34.0,-28.0
2021-02-11,Donalda,Village,Canada,219,"(52.58342, -112.57523)",Alberta,-28.8,-34.0,-24.0
2021-02-12,Donalda,Village,Canada,219,"(52.58342, -112.57523)",Alberta,-22.0,-24.0,-20.0
2021-02-07,Drumheller,Town,Canada,7982,"(51.46155, -112.70878)",Alberta,-30.5,-35.1,-24.9
2021-02-08,Drumheller,Town,Canada,7982,"(51.46155, -112.70878)",Alberta,-31.4,-35.1,-26.4
2021-02-09,Drumheller,Town,Canada,7982,"(51.46155, -112.70878)",Alberta,-30.4,-34.6,-26.4
2021-02-10,Drumheller,Town,Canada,7982,"(51.46155, -112.70878)",Alberta,-30.9,-34.6,-26.8
2021-02-11,Drumheller,Town,Canada,7982,"(51.46155, -112.70878)",Alberta,-31.0,-36.1,-26.8
2021-02-12,Drumheller,Town,Canada,7982,"(51.46155, -112.70878)",Alberta,-22.3,-27.4,-20.4
2021-02-07,Duchess,Village,Canada,1085,"(50.73249, -111.90441)",Alberta,-29.5,-35.4,-23.5
2021-02-08,Duchess,Village,Canada,1085,"(50.73249, -111.90441)",Alberta,-30.7,-35.0,-25.0
2021-02-09,Duchess,Village,Canada,1085,"(50.73249, -111.90441)",Alberta,-29.3,-33.0,-24.5
2021-02-10,Duchess,Village,Canada,1085,"(50.73249, -111.90441)",Alberta,-29.4,-34.0,-26.0
2021-02-11,Duchess,Village,Canada,1085,"(50.73249, -111.90441)",Alberta,-30.5,-34.4,-26.0
2021-02-12,Duchess,Village,Canada,1085,"(50.73249, -111.90441)",Alberta,-21.8,-29.0,-20.0
2021-02-07,Elk Point,Town,Canada,1452,"(53.89749, -110.89628)",Alberta,-35.5,-43.0,-28.0
2021-02-08,Elk Point,Town,Canada,1452,"(53.89749, -110.89628)",Alberta,-32.1,-40.0,-26.0
2021-02-09,Elk Point,Town,Canada,1452,"(53.89749, -110.89628)",Alberta,-28.5,-30.0,-26.0
2021-02-10,Elk Point,Town,Canada,1452,"(53.89749, -110.89628)",Alberta,-29.6,-33.0,-28.0
2021-02-11,Elk Point,Town,Canada,1452,"(53.89749, -110.89628)",Alberta,-30.3,-37.0,-25.0
2021-02-12,Elk Point,Town,Canada,1452,"(53.89749, -110.89628)",Alberta,-22.8,-25.0,-21.0
2021-02-07,Elnora,Village,Canada,298,"(51.99738, -113.1964)",Alberta,-35.8,-41.0,-29.0
2021-02-08,Elnora,Village,Canada,298,"(51.99738, -113.1964)",Alberta,-32.9,-40.0,-26.0
2021-02-09,Elnora,Village,Canada,298,"(51.99738, -113.1964)",Alberta,-30.9,-35.0,-26.0
